Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
No checking account,24,3,6,3235,500-1000 DM,2,3,male:divorced/separated,none,2,car or other,26,none,own,1,management/self employed,1,yes,Yes,0
>200 DM,12,2,5,939,500-1000 DM,4,4,male:married,none,2,real estate,28,none,own,3,skilled employee,1,yes,Yes,1
0-200 DM,24,3,6,1967,< 100 DM,2,4,female:divorced/separated/married,none,4,car or other,20,none,own,1,skilled employee,1,yes,Yes,0
No checking account,33,2,9,7253,< 100 DM,4,3,male:single,none,2,car or other,35,none,own,2,management/self employed,1,yes,Yes,0
No checking account,12,2,1,2292,< 100 DM,5,4,male:single,none,2,car or other,42,stores,own,2,management/self employed,1,yes,Yes,1
No checking account,10,3,5,1597,500-1000 DM,3,3,male:single,none,2,unknown/no property,40,none,rent,1,unskilled/resident,2,None,No,0
0 DM,24,3,5,1381,no savings,3,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee,1,None,Yes,1
No checking account,36,2,9,5842,< 100 DM,2,2,male:single,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee,2,yes,Yes,0
0 DM,12,3,5,2579,< 100 DM,1,4,male:single,none,1,real estate,33,none,own,1,unskilled/resident,2,None,Yes,1
0 DM,18,4,3,8471,no savings,3,1,female:divorced/separated/married,none,2,car or other,23,none,rent,2,skilled employee,1,yes,Yes,0
No checking account,21,3,5,2782,500-1000 DM,4,1,female:divorced/separated/married,none,2,car or other,31,bank,own,1,management/self employed,1,None,Yes,0
0-200 DM,18,3,5,1042,no savings,3,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,33,none,own,1,skilled employee,1,None,Yes,1
No checking account,15,3,5,3186,>1000 DM,4,2,female:divorced/separated/married,none,3,car or other,20,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,9,2028,no savings,3,4,male:single,none,2,car or other,30,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,12,2,5,958,< 100 DM,4,2,male:single,none,3,real estate,47,none,own,2,unskilled/resident,2,None,Yes,0
No checking account,21,4,4,1591,100-500 DM,4,4,male:single,none,3,real estate,34,none,own,2,management/self employed,1,None,Yes,0
0-200 DM,12,3,4,2762,no savings,2,1,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,25,bank,own,1,skilled employee,1,yes,Yes,1
0-200 DM,18,3,9,2779,< 100 DM,3,1,male:married,none,3,car or other,21,none,rent,1,skilled employee,1,yes,Yes,0
No checking account,28,2,6,2743,< 100 DM,2,4,male:single,none,2,car or other,29,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,2,6,1149,>1000 DM,3,4,male:single,none,3,real estate,46,none,own,2,skilled employee,1,None,Yes,0
No checking account,9,3,4,1313,< 100 DM,2,1,male:single,none,4,car or other,20,none,own,1,skilled employee,1,None,Yes,0
0 DM,18,2,7,1190,< 100 DM,5,2,female:divorced/separated/married,none,4,unknown/no property,55,none,free,3,5,2,None,Yes,1
No checking account,5,3,1,3448,< 100 DM,4,1,male:single,none,4,real estate,74,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,24,3,10,11328,< 100 DM,3,2,male:single,co-applicant,3,car or other,29,bank,own,2,management/self employed,1,yes,Yes,1
0 DM,6,2,4,1872,< 100 DM,5,4,male:single,none,4,unknown/no property,36,none,free,3,management/self employed,1,yes,Yes,0
No checking account,24,2,7,2058,< 100 DM,3,4,male:divorced/separated,none,2,real estate,33,none,own,2,skilled employee,1,yes,Yes,0
0 DM,9,3,4,2136,< 100 DM,3,3,male:single,none,2,real estate,25,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,6,1484,no savings,3,2,male:married,none,1,real estate,25,none,own,1,skilled employee,1,yes,Yes,1
No checking account,6,3,7,660,500-1000 DM,4,2,male:married,none,4,real estate,23,none,rent,1,unskilled/resident,1,None,Yes,0
No checking account,24,2,5,1287,>1000 DM,2,4,female:divorced/separated/married,none,4,real estate,37,none,own,2,skilled employee,1,yes,Yes,0
0 DM,42,2,7,3394,< 100 DM,5,4,male:single,co-applicant,4,car or other,65,none,own,2,5,1,None,Yes,0
>200 DM,12,1,1,609,< 100 DM,1,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,5,1,None,Yes,1
No checking account,12,3,5,1884,< 100 DM,2,4,male:single,none,4,car or other,39,none,own,1,management/self employed,1,yes,Yes,0
0 DM,12,3,4,1620,< 100 DM,3,2,female:divorced/separated/married,co-applicant,3,building society savings agreement/ life insurance,30,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,20,4,10,2629,< 100 DM,3,2,male:single,none,3,car or other,29,bank,own,2,skilled employee,1,yes,Yes,0
No checking account,12,3,3,719,< 100 DM,2,4,male:single,none,4,car or other,41,bank,own,1,unskilled/resident,2,None,Yes,1
0-200 DM,48,2,4,5096,< 100 DM,3,2,female:divorced/separated/married,none,3,car or other,30,none,own,1,management/self employed,1,yes,Yes,1
No checking account,9,2,3,1244,no savings,2,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,41,none,rent,2,unskilled/resident,1,None,Yes,0
0 DM,36,3,5,1842,< 100 DM,1,4,female:divorced/separated/married,none,4,car or other,34,none,own,1,skilled employee,1,yes,Yes,1
0-200 DM,7,3,6,2576,< 100 DM,3,2,male:single,guarantor,2,real estate,35,none,own,1,skilled employee,1,None,Yes,0
>200 DM,12,3,4,1424,no savings,2,3,female:divorced/separated/married,none,4,real estate,55,none,own,1,management/self employed,1,yes,Yes,0
0-200 DM,15,4,7,1512,>1000 DM,3,3,male:married,none,3,building society savings agreement/ life insurance,61,stores,own,2,skilled employee,1,None,Yes,1
No checking account,36,2,9,11054,no savings,3,4,male:single,none,2,car or other,30,none,own,1,management/self employed,1,yes,Yes,0
No checking account,6,3,6,518,< 100 DM,3,3,female:divorced/separated/married,none,1,real estate,29,none,own,1,skilled employee,1,None,Yes,0
No checking account,12,5,4,2759,< 100 DM,2,2,male:single,none,4,building society savings agreement/ life insurance,34,none,own,2,skilled employee,1,None,Yes,0
No checking account,24,3,9,2670,< 100 DM,2,4,male:single,none,4,car or other,35,none,own,1,management/self employed,1,yes,Yes,0
0 DM,24,3,5,4817,< 100 DM,4,2,male:single,co-applicant,3,building society savings agreement/ life insurance,31,none,own,1,skilled employee,1,yes,Yes,1
No checking account,24,3,9,2679,< 100 DM,1,4,female:divorced/separated/married,none,1,unknown/no property,29,none,own,1,management/self employed,1,yes,Yes,0
0 DM,11,2,5,3905,< 100 DM,3,2,male:single,none,2,real estate,36,none,rent,2,skilled employee,2,None,Yes,0
0 DM,12,3,9,3386,< 100 DM,2,3,male:single,none,4,unknown/no property,35,none,free,1,skilled employee,1,yes,Yes,1
0 DM,6,3,2,343,< 100 DM,1,4,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee,1,None,Yes,0
No checking account,18,3,6,4594,< 100 DM,1,3,male:single,none,2,car or other,32,none,own,1,skilled employee,1,yes,Yes,0
0 DM,36,3,4,3620,< 100 DM,3,1,male:single,guarantor,2,building society savings agreement/ life insurance,37,none,own,1,skilled employee,2,None,Yes,0
0 DM,15,3,5,1721,< 100 DM,1,2,male:single,none,3,real estate,36,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,4,3017,< 100 DM,1,3,female:divorced/separated/married,none,1,real estate,34,none,rent,1,management/self employed,1,None,Yes,0
0-200 DM,12,3,8,754,no savings,2,4,male:single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,3,1,1950,< 100 DM,4,4,male:single,none,1,car or other,34,stores,own,2,skilled employee,1,yes,Yes,0
0 DM,24,3,9,2924,< 100 DM,3,3,male:single,guarantor,4,unknown/no property,63,bank,own,1,skilled employee,2,yes,Yes,0
0 DM,24,4,6,1659,< 100 DM,1,4,female:divorced/separated/married,none,2,car or other,29,none,rent,1,unskilled/resident,1,yes,Yes,1
No checking account,48,4,6,7238,no savings,2,3,male:single,none,3,car or other,32,bank,own,2,skilled employee,2,None,Yes,0
No checking account,33,4,1,2764,< 100 DM,3,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee,1,yes,Yes,0
No checking account,24,4,9,4679,< 100 DM,4,3,male:single,none,3,car or other,35,none,own,2,unskilled/resident,1,yes,Yes,0
0-200 DM,24,3,6,3092,100-500 DM,1,3,male:married,none,2,car or other,22,none,rent,1,skilled employee,1,yes,Yes,1
0 DM,6,3,3,448,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,None,Yes,1
0 DM,9,3,5,654,< 100 DM,3,4,male:single,none,3,car or other,28,none,own,1,unskilled/resident,1,None,Yes,1
No checking account,6,3,8,1238,no savings,5,4,male:single,none,4,building society savings agreement/ life insurance,36,none,own,1,management/self employed,2,yes,Yes,0
0-200 DM,18,2,6,1245,< 100 DM,3,4,male:married,none,2,car or other,33,none,own,1,skilled employee,1,None,Yes,1
0 DM,18,5,4,3114,< 100 DM,1,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee,1,None,Yes,1
No checking account,39,3,9,2569,500-1000 DM,3,4,male:single,none,4,car or other,24,none,own,1,skilled employee,1,None,Yes,0
>200 DM,24,3,6,5152,< 100 DM,4,4,male:single,none,2,car or other,25,bank,own,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,1,1037,100-500 DM,4,3,male:single,none,4,real estate,39,none,own,1,unskilled/resident,1,None,Yes,0
0 DM,15,2,4,1478,< 100 DM,2,4,male:single,none,4,car or other,44,none,own,2,skilled employee,2,yes,Yes,0
0-200 DM,12,2,6,3573,< 100 DM,3,1,female:divorced/separated/married,none,1,real estate,23,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,24,3,5,1201,< 100 DM,1,4,male:single,none,1,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,None,Yes,0
0 DM,30,3,4,3622,>1000 DM,2,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,57,none,rent,2,skilled employee,1,yes,Yes,0
No checking account,15,4,4,960,>1000 DM,4,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,30,none,own,2,skilled employee,1,None,Yes,0
No checking account,12,2,5,1163,500-1000 DM,3,4,male:single,none,4,real estate,44,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,6,4,5,1209,< 100 DM,5,4,male:single,none,4,building society savings agreement/ life insurance,47,none,own,1,management/self employed,1,yes,Yes,1
No checking account,12,3,6,3077,< 100 DM,3,2,male:single,none,4,car or other,52,none,own,1,skilled employee,1,yes,Yes,0
No checking account,24,3,5,3757,< 100 DM,2,4,female:divorced/separated/married,co-applicant,4,unknown/no property,62,none,free,1,skilled employee,1,yes,Yes,0
No checking account,10,3,5,1418,100-500 DM,3,3,male:single,none,2,real estate,35,none,rent,1,unskilled/resident,1,None,No,0
No checking account,6,3,5,3518,< 100 DM,3,2,male:single,guarantor,3,building society savings agreement/ life insurance,26,none,rent,1,skilled employee,1,None,Yes,0
No checking account,12,2,6,1934,< 100 DM,2,2,male:single,none,2,unknown/no property,26,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,27,5,1,8318,< 100 DM,2,2,female:divorced/separated/married,none,4,unknown/no property,42,none,free,2,management/self employed,1,yes,Yes,1
No checking account,6,2,6,1237,100-500 DM,3,1,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,6,3,6,368,no savings,2,4,male:single,none,4,building society savings agreement/ life insurance,38,none,own,1,skilled employee,1,None,Yes,0
0 DM,12,2,5,2122,< 100 DM,3,3,male:single,none,2,real estate,39,none,rent,2,unskilled/resident,2,None,No,0
0 DM,24,3,4,2996,no savings,3,2,male:married,none,4,car or other,20,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,36,3,4,9034,100-500 DM,1,4,male:single,co-applicant,1,unknown/no property,29,none,rent,1,management/self employed,1,yes,Yes,1
No checking account,24,2,4,1585,< 100 DM,4,4,male:single,none,3,building society savings agreement/ life insurance,40,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,18,3,6,1301,< 100 DM,2,4,male:married,guarantor,2,real estate,32,none,own,1,unskilled/resident,1,None,Yes,0
>200 DM,6,2,5,1323,100-500 DM,2,2,male:divorced/separated,none,4,car or other,28,none,own,2,skilled employee,2,yes,Yes,0
0 DM,24,3,5,3123,< 100 DM,1,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee,1,None,Yes,1
0 DM,36,3,9,5493,< 100 DM,2,2,male:single,none,4,unknown/no property,42,none,free,1,skilled employee,2,None,Yes,0
>200 DM,9,3,6,1126,100-500 DM,2,2,male:divorced/separated,none,4,real estate,49,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,24,2,6,1216,100-500 DM,1,4,male:single,none,4,unknown/no property,38,bank,own,2,skilled employee,2,None,Yes,1
0 DM,24,3,5,1207,< 100 DM,1,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee,1,None,Yes,1
No checking account,10,3,5,1309,no savings,3,4,male:single,guarantor,4,building society savings agreement/ life insurance,27,none,own,1,unskilled/resident,1,None,Yes,1
>200 DM,15,2,9,2360,500-1000 DM,3,2,male:single,none,2,car or other,36,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,15,1,5,6850,100-500 DM,5,1,male:single,none,2,building society savings agreement/ life insurance,34,none,own,1,management/self employed,2,yes,Yes,1
No checking account,24,3,6,1413,< 100 DM,3,4,male:married,none,2,building society savings agreement/ life insurance,28,none,own,1,skilled employee,1,None,Yes,0
No checking account,39,3,9,8588,100-500 DM,2,4,male:single,none,2,car or other,45,none,own,1,management/self employed,1,yes,Yes,0
0 DM,12,3,5,759,< 100 DM,4,4,male:single,none,2,real estate,26,none,own,1,skilled employee,1,None,Yes,1
No checking account,36,3,9,4686,< 100 DM,3,2,male:single,none,2,unknown/no property,32,none,free,1,management/self employed,1,yes,Yes,0
>200 DM,15,3,1,2687,< 100 DM,4,2,male:single,none,4,building society savings agreement/ life insurance,26,none,rent,1,skilled employee,1,yes,Yes,0
0-200 DM,12,4,6,585,< 100 DM,3,4,male:married,co-applicant,4,real estate,20,none,rent,2,skilled employee,1,None,Yes,0
No checking account,24,3,5,2255,no savings,1,4,male:single,none,1,building society savings agreement/ life insurance,54,none,own,1,skilled employee,1,None,Yes,0
0 DM,6,2,5,609,< 100 DM,4,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,37,none,own,2,skilled employee,1,None,No,0
0 DM,6,2,5,1361,< 100 DM,1,2,male:single,none,4,real estate,40,none,own,1,unskilled/resident,2,None,No,0
No checking account,36,2,4,7127,< 100 DM,1,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,none,rent,2,skilled employee,1,yes,Yes,1
0 DM,6,3,5,1203,100-500 DM,2,3,male:single,none,2,building society savings agreement/ life insurance,43,none,own,1,skilled employee,1,yes,Yes,0
No checking account,6,2,6,700,no savings,2,4,male:single,none,4,unknown/no property,36,none,free,2,skilled employee,1,None,Yes,0
No checking account,24,2,7,5507,< 100 DM,2,3,male:single,none,4,unknown/no property,44,none,free,2,skilled employee,1,None,Yes,0
0 DM,18,3,6,3190,< 100 DM,3,2,female:divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee,1,None,Yes,1
0 DM,48,5,4,7119,< 100 DM,3,3,male:single,none,4,unknown/no property,53,none,free,2,skilled employee,2,None,Yes,1
No checking account,24,3,9,3488,100-500 DM,4,3,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,18,3,6,1113,< 100 DM,3,4,female:divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled/resident,2,None,Yes,0
0-200 DM,26,3,9,7966,< 100 DM,1,2,male:single,none,3,car or other,30,none,own,2,skilled employee,1,None,Yes,0
No checking account,15,2,3,1532,100-500 DM,3,4,female:divorced/separated/married,none,3,car or other,31,none,own,1,skilled employee,1,None,Yes,0
No checking account,4,2,6,1503,< 100 DM,4,2,male:single,none,1,real estate,42,none,own,2,unskilled/resident,2,None,Yes,0
0 DM,36,3,6,2302,< 100 DM,3,4,male:divorced/separated,none,4,car or other,31,none,rent,1,skilled employee,1,None,Yes,1
0 DM,6,3,5,662,< 100 DM,1,3,male:single,none,4,real estate,41,none,own,1,unskilled/resident,2,yes,Yes,0
0-200 DM,36,3,3,2273,< 100 DM,4,3,male:single,none,1,car or other,32,none,own,2,skilled employee,2,None,Yes,0
0-200 DM,15,3,5,2631,100-500 DM,3,2,female:divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee,1,yes,Yes,1
No checking account,12,4,9,1503,< 100 DM,3,4,male:married,none,4,real estate,41,none,rent,1,skilled employee,1,None,Yes,0
No checking account,24,3,6,1311,100-500 DM,4,4,male:married,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,yes,Yes,0
No checking account,24,3,6,3105,no savings,1,4,male:single,none,2,car or other,25,none,own,2,skilled employee,1,None,Yes,0
>200 DM,21,2,3,2319,< 100 DM,1,2,male:divorced/separated,none,1,car or other,33,none,rent,1,skilled employee,1,None,Yes,1
0 DM,6,3,5,1374,no savings,5,4,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,75,none,own,1,management/self employed,1,yes,Yes,0
0-200 DM,18,2,4,3612,< 100 DM,2,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,37,none,own,1,skilled employee,1,yes,Yes,0
0 DM,48,3,5,7763,< 100 DM,2,4,male:single,none,4,unknown/no property,42,bank,free,1,management/self employed,1,None,Yes,1
>200 DM,18,3,4,3049,< 100 DM,1,1,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,45,stores,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,12,3,6,1534,< 100 DM,1,1,male:married,none,1,real estate,23,none,rent,1,skilled employee,1,None,Yes,1
No checking account,24,4,5,2032,< 100 DM,2,4,male:single,none,4,unknown/no property,60,none,free,2,skilled employee,1,yes,Yes,0
0 DM,30,3,4,6350,no savings,2,4,male:single,none,4,building society savings agreement/ life insurance,31,none,own,1,skilled employee,1,None,Yes,1
>200 DM,18,3,4,2864,< 100 DM,3,2,male:single,none,1,real estate,34,none,own,1,unskilled/resident,2,None,Yes,1
No checking account,12,2,5,1255,< 100 DM,2,4,male:single,none,4,real estate,61,none,own,2,unskilled/resident,1,None,Yes,0
0 DM,24,4,5,1333,< 100 DM,5,4,male:single,none,2,real estate,43,none,free,2,skilled employee,2,None,Yes,1
No checking account,24,2,5,2022,< 100 DM,3,4,female:divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee,1,yes,Yes,0
No checking account,24,3,6,1552,< 100 DM,4,3,male:single,none,1,car or other,32,bank,own,1,skilled employee,2,None,Yes,0
0 DM,12,1,6,626,< 100 DM,3,4,female:divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled/resident,1,None,Yes,1
No checking account,48,2,9,8858,no savings,4,2,male:single,none,1,unknown/no property,35,none,free,2,skilled employee,1,yes,Yes,0
No checking account,12,2,7,996,no savings,4,4,female:divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee,1,None,Yes,0
No checking account,6,1,6,1750,500-1000 DM,2,2,male:single,none,4,building society savings agreement/ life insurance,45,bank,own,1,unskilled/resident,2,None,Yes,0
0 DM,48,3,6,6999,< 100 DM,4,1,male:married,guarantor,1,real estate,34,none,own,2,skilled employee,1,yes,Yes,1
0-200 DM,12,2,5,1995,100-500 DM,1,4,male:single,none,1,car or other,27,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,9,3,3,1199,< 100 DM,4,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,67,none,own,2,management/self employed,1,yes,Yes,0
0-200 DM,12,3,6,1331,< 100 DM,1,2,male:single,none,1,car or other,22,stores,own,1,skilled employee,1,None,Yes,1
0-200 DM,18,5,5,2278,100-500 DM,1,3,female:divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee,1,None,Yes,1
No checking account,21,5,5,5003,no savings,3,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,29,bank,own,2,skilled employee,1,yes,Yes,1
0 DM,24,1,4,3552,< 100 DM,4,3,male:single,none,4,car or other,27,bank,own,1,skilled employee,1,None,Yes,1
0-200 DM,18,2,4,1928,< 100 DM,1,2,male:single,none,2,real estate,31,none,own,2,unskilled/resident,1,None,Yes,1
0 DM,24,3,9,2964,no savings,2,4,male:single,none,4,unknown/no property,49,bank,free,1,skilled employee,2,yes,Yes,0
0 DM,24,1,6,1546,< 100 DM,4,4,male:single,guarantor,4,car or other,24,bank,rent,1,unskilled/resident,1,None,Yes,1
>200 DM,6,4,6,683,< 100 DM,1,2,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,29,bank,own,1,skilled employee,1,None,Yes,0
0-200 DM,36,3,5,12389,no savings,3,1,male:single,none,4,unknown/no property,37,none,free,1,skilled employee,1,yes,Yes,1
0-200 DM,24,4,1,4712,no savings,3,4,male:single,none,2,building society savings agreement/ life insurance,37,bank,own,2,management/self employed,1,yes,Yes,0
0-200 DM,24,4,6,1553,100-500 DM,4,3,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,rent,2,skilled employee,1,yes,Yes,0
0 DM,12,3,5,1372,< 100 DM,4,2,male:divorced/separated,none,3,car or other,36,none,own,1,skilled employee,1,None,Yes,1
No checking account,24,2,6,2578,>1000 DM,2,2,male:single,none,2,car or other,34,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,48,3,6,3979,no savings,4,4,male:single,none,1,car or other,41,none,own,2,skilled employee,2,yes,Yes,0
0 DM,48,3,6,6758,< 100 DM,3,3,female:divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee,1,yes,Yes,1
0 DM,24,3,4,3234,< 100 DM,1,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled/resident,1,yes,Yes,1
No checking account,30,2,6,5954,< 100 DM,4,3,male:single,co-applicant,2,car or other,38,none,own,1,skilled employee,1,None,Yes,0
No checking account,24,3,9,5433,no savings,5,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/self employed,1,yes,Yes,0
0 DM,15,3,1,806,< 100 DM,3,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,22,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,9,3,6,1082,< 100 DM,2,4,male:single,none,4,car or other,27,none,own,2,unskilled/resident,1,None,Yes,0
No checking account,15,2,4,2788,< 100 DM,4,2,female:divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee,1,None,Yes,0
0-200 DM,12,3,6,2930,< 100 DM,4,2,female:divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee,1,None,Yes,0
No checking account,24,2,3,1927,no savings,3,3,female:divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,36,2,5,2820,< 100 DM,1,4,male:divorced/separated,none,4,car or other,27,none,own,2,skilled employee,1,None,Yes,1
No checking account,24,3,8,937,< 100 DM,1,4,male:married,none,3,car or other,27,none,own,2,unskilled/resident,1,None,Yes,0
0-200 DM,18,2,5,1056,< 100 DM,2,3,male:single,guarantor,3,real estate,30,bank,own,2,skilled employee,1,None,Yes,1
0-200 DM,12,2,5,3124,< 100 DM,1,1,male:single,none,3,real estate,49,bank,own,2,unskilled/resident,2,None,Yes,0
No checking account,9,3,4,1388,< 100 DM,3,4,female:divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,36,3,7,2384,< 100 DM,1,4,male:single,none,1,unknown/no property,33,none,rent,1,unskilled/resident,1,None,Yes,1
No checking account,12,3,5,2133,no savings,2,4,female:divorced/separated/married,none,4,unknown/no property,52,none,free,1,management/self employed,1,yes,Yes,0
0 DM,18,3,4,2039,< 100 DM,3,1,female:divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee,1,None,Yes,1
0 DM,9,2,5,2799,< 100 DM,3,2,male:single,none,2,real estate,36,none,rent,2,skilled employee,2,None,Yes,0
0 DM,12,3,4,1289,< 100 DM,3,4,male:single,guarantor,1,building society savings agreement/ life insurance,21,none,own,1,unskilled/resident,1,None,Yes,0
0 DM,18,3,2,1217,< 100 DM,3,4,male:married,none,3,real estate,47,none,own,1,unskilled/resident,1,yes,Yes,1
0 DM,12,2,4,2246,< 100 DM,2,3,male:single,none,3,building society savings agreement/ life insurance,60,none,own,2,skilled employee,1,None,Yes,1
0 DM,12,2,6,385,< 100 DM,4,4,female:divorced/separated/married,none,3,real estate,58,none,own,4,unskilled/resident,1,yes,Yes,0
0-200 DM,24,4,5,1965,no savings,3,4,female:divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee,1,yes,Yes,0
No checking account,21,3,1,1572,>1000 DM,2,4,female:divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,24,3,5,2718,< 100 DM,3,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,20,none,rent,1,unskilled/resident,1,yes,Yes,1
0 DM,24,1,10,1358,no savings,2,4,male:single,none,3,car or other,40,stores,own,1,management/self employed,1,yes,Yes,1
0-200 DM,6,1,5,931,100-500 DM,1,1,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,32,stores,own,1,unskilled/resident,1,None,Yes,1
0 DM,24,3,5,1442,< 100 DM,4,4,female:divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee,1,None,Yes,1
0-200 DM,24,5,1,4241,< 100 DM,3,1,male:single,none,4,real estate,36,none,own,3,unskilled/resident,1,yes,Yes,1
No checking account,18,2,5,2775,< 100 DM,4,2,male:single,none,2,building society savings agreement/ life insurance,31,bank,own,2,skilled employee,1,None,Yes,1
No checking account,24,4,1,3863,< 100 DM,3,1,male:single,none,2,unknown/no property,32,none,free,1,skilled employee,1,None,Yes,0
0-200 DM,7,3,6,2329,< 100 DM,1,1,female:divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,9,3,4,918,< 100 DM,3,4,female:divorced/separated/married,none,1,building society savings agreement/ life insurance,30,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,24,1,3,1837,< 100 DM,4,4,female:divorced/separated/married,none,4,unknown/no property,34,bank,free,1,unskilled/resident,1,None,Yes,1
No checking account,36,3,4,3349,< 100 DM,3,4,female:divorced/separated/married,none,2,car or other,28,none,own,1,management/self employed,1,yes,Yes,1
>200 DM,10,3,4,1275,< 100 DM,1,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,23,none,own,1,skilled employee,1,None,Yes,0
0 DM,24,1,4,2828,500-1000 DM,3,4,male:single,none,4,real estate,22,stores,own,1,skilled employee,1,yes,Yes,0
No checking account,24,2,1,4526,< 100 DM,3,3,male:single,none,2,real estate,74,none,own,1,management/self employed,1,yes,Yes,0
0-200 DM,36,3,6,2671,100-500 DM,3,4,female:divorced/separated/married,co-applicant,4,unknown/no property,50,none,free,1,skilled employee,1,None,Yes,1
No checking account,18,3,6,2051,< 100 DM,1,4,male:single,none,1,real estate,33,none,own,1,skilled employee,1,None,Yes,0
No checking account,15,3,9,1300,no savings,2,4,male:single,none,4,unknown/no property,45,bank,free,1,skilled employee,2,None,Yes,0
